id,car_id,driveline
1416,2011 Cadillac CTS Coupe Performance MT,Rear-wheel drive
1417,2011 Cadillac CTS Coupe Performance,Rear-wheel drive
1418,2011 Cadillac CTS Coupe Performance AWD,All-wheel drive
1419,2011 Cadillac CTS Coupe Premium MT,Rear-wheel drive
1420,2011 Cadillac CTS Coupe Premium,Rear-wheel drive
1421,2011 Cadillac CTS Coupe Premium AWD,All-wheel drive
1422,2010 Toyota Sequoia SR5,Rear-wheel drive
1423,2010 Toyota Sequoia SR5 5.7L,Rear-wheel drive
1424,2010 Toyota Sequoia SR5 4x4,All-wheel drive
1425,2010 Toyota Sequoia SR5 5.7L 4x4,All-wheel drive
1426,2010 Toyota Sequoia SR5 FFV,All-wheel drive
1427,2010 Toyota Sequoia Limited,Rear-wheel drive
1428,2010 Toyota Sequoia Limited 4x4,All-wheel drive
1429,2010 Toyota Sequoia Limited FFV,All-wheel drive
1430,2010 Toyota Sequoia Platinum,Rear-wheel drive
1431,2010 Toyota Sequoia Platinum 4x4,All-wheel drive
1432,2010 Toyota Sequoia Platinum FFV,All-wheel drive
1433,2011 Mitsubishi Outlander Sport ES,Front-wheel drive
1434,2011 Cadillac DTS,Front-wheel drive
1435,2011 Cadillac DTS Luxury,Front-wheel drive
1436,2011 Cadillac DTS Premium,Front-wheel drive
1437,2011 Cadillac DTS Platinum,Front-wheel drive
1438,2011 Infiniti EX35,Rear-wheel drive
1439,2011 Infiniti EX35 AWD,All-wheel drive
1440,2011 Infiniti EX35 Journey,Rear-wheel drive
1441,2011 Infiniti EX35 Journey AWD,All-wheel drive
1442,2010 BMW 335i Sedan AT,Rear-wheel drive
1443,2010 BMW 335i xDrive Sedan AT,All-wheel drive
1444,2010 BMW 328i Sedan,Rear-wheel drive
1445,2010 BMW 335d Sedan,Rear-wheel drive
1446,2010 BMW 328i xDrive Sedan AT,All-wheel drive
1447,2010 BMW 335i xDrive Sedan,All-wheel drive
1448,2010 BMW 328i xDrive Sedan,All-wheel drive
1449,2010 BMW 328i Sedan AT,Rear-wheel drive
1450,2010 BMW 335i Sedan,Rear-wheel drive
1451,2010 Mercedes-Benz GL350 BlueTEC 4Matic,All-wheel drive
1452,2010 Mercedes-Benz GL450 4Matic,All-wheel drive
1453,2010 Mercedes-Benz GL550 4Matic,All-wheel drive
1454,2010 Nissan Sentra 2.0,Front-wheel drive
1455,2010 Nissan Sentra SE-R Spec V,Front-wheel drive
1456,2011 Mercedes-Benz GL550 4Matic,All-wheel drive
1457,2011 Mercedes-Benz GL450 4Matic,All-wheel drive
1458,2011 Mercedes-Benz GL350 BlueTEC 4Matic,All-wheel drive
1459,2011 Nissan Versa Hatchback 1.8 S,Front-wheel drive
1460,2011 Nissan Versa Hatchback 1.8 S AT,Front-wheel drive
1461,2010 Nissan Versa Hatchback 1.8 S AT,Front-wheel drive
1462,2010 Nissan Versa Hatchback 1.8 S,Front-wheel drive
1463,2010 Mercedes-Benz GLK350,Rear-wheel drive
1464,2010 Mercedes-Benz GLK350 4Matic,All-wheel drive
1465,2011 Mercedes-Benz GLK350 4Matic,All-wheel drive
1466,2011 Mercedes-Benz GLK350,Rear-wheel drive
1467,2011 BMW 335d Sedan,Rear-wheel drive
1468,2011 BMW 335i xDrive Sedan AT,All-wheel drive
1469,2011 BMW 328i Sedan,Rear-wheel drive
1470,2011 BMW 328i xDrive Sedan AT,All-wheel drive
1471,2011 BMW 328i xDrive Sedan,All-wheel drive
1472,2011 BMW 328i Sedan AT,Rear-wheel drive
1473,2011 BMW 335i Sedan AT,Rear-wheel drive
1474,2011 BMW 335i xDrive Sedan,All-wheel drive
1475,2011 BMW 335i Sedan,Rear-wheel drive
1476,2012 Ford Escape XLS,Front-wheel drive
1477,2012 Ford Escape XLS AT,Front-wheel drive
1478,2012 Ford Escape XLS AWD,All-wheel drive
1479,2012 Ford Escape XLT,Front-wheel drive
1480,2012 Ford Escape XLT FFV,Front-wheel drive
1481,2012 Ford Escape XLT 4WD,All-wheel drive
1482,2012 Ford Escape XLT 4WD FFV,All-wheel drive
1483,2012 Ford Escape Limited,Front-wheel drive
1484,2012 Ford Escape Limited FFV,Front-wheel drive
1485,2012 Ford Escape Limited 4WD,All-wheel drive
1486,2012 Ford Escape Limited 4WD FFV,All-wheel drive
1487,2011 Ford Escape XLS,Front-wheel drive
1488,2011 Ford Escape XLS AT,Front-wheel drive
1489,2011 Ford Escape XLS AWD,All-wheel drive
1490,2011 Ford Escape XLT,Front-wheel drive
1491,2011 Ford Escape XLT FFV,Front-wheel drive
1492,2011 Ford Escape XLT AWD,All-wheel drive
1493,2011 Ford Escape XLT AWD FFV,All-wheel drive
1494,2011 Ford Escape Limited,Front-wheel drive
1495,2011 Ford Escape Limited FFV,Front-wheel drive
1496,2011 Ford Escape Limited AWD,All-wheel drive
1497,2010 Mercedes-Benz R350 BlueTEC 4Matic,All-wheel drive
1498,2010 Mercedes-Benz R350 4Matic,All-wheel drive
1499,2011 Mercedes-Benz R350 BlueTEC 4Matic,All-wheel drive
1500,2011 Mercedes-Benz R350 4Matic,All-wheel drive
1501,2012 Chevrolet Cruze LS,Front-wheel drive
1502,2012 Chevrolet Cruze LS AT,Front-wheel drive
1503,2012 Chevrolet Cruze 1LT,Front-wheel drive
1504,2012 Chevrolet Cruze 1LT AT,Front-wheel drive
1505,2012 Chevrolet Cruze Eco,Front-wheel drive
1506,2012 Chevrolet Cruze Eco AT,Front-wheel drive
1507,2012 Chevrolet Cruze 2LT,Front-wheel drive
1508,2012 Chevrolet Cruze 2LT AT,Front-wheel drive
1509,2012 Chevrolet Cruze LTZ,Front-wheel drive
1510,2010 BMW 328i xDrive Sports Wagon AT,All-wheel drive
1511,2010 BMW 328i Sports Wagon,Rear-wheel drive
1512,2010 BMW 328i xDrive Sports Wagon,All-wheel drive
1513,2010 BMW 328i Sports Wagon AT,Rear-wheel drive
1514,2011 Chevrolet Cruze LS,Front-wheel drive
1515,2011 Chevrolet Cruze LS AT,Front-wheel drive
1516,2011 Chevrolet Cruze 1LT,Front-wheel drive
1517,2011 Chevrolet Cruze Eco,Front-wheel drive
1518,2011 Chevrolet Cruze Eco AT,Front-wheel drive
1519,2011 Chevrolet Cruze 2LT,Front-wheel drive
1520,2011 Chevrolet Cruze LTZ,Front-wheel drive
1521,2011 Cadillac SRX,Front-wheel drive
1522,2011 Cadillac SRX Luxury,Front-wheel drive
1523,2011 Cadillac SRX Performance,Front-wheel drive
1524,2011 Cadillac SRX Luxury AWD,All-wheel drive
1525,2011 Cadillac SRX Premium,Front-wheel drive
1526,2011 Cadillac SRX Premium AWD,All-wheel drive
1527,2011 Cadillac SRX Performance AWD,All-wheel drive
1528,2010 Ford Escape XLS,Front-wheel drive
1529,2010 Ford Escape XLS AT,Front-wheel drive
1530,2010 Ford Escape XLS AWD,All-wheel drive
1531,2010 Ford Escape XLT,All-wheel drive
1532,2010 Ford Escape XLT FFV,Front-wheel drive
1533,2010 Ford Escape XLT AWD,All-wheel drive
1534,2010 Ford Escape XLT AWD FFV,All-wheel drive
1535,2010 Ford Escape Limited,Front-wheel drive
1536,2010 Ford Escape Limited FFV,Front-wheel drive
1537,2010 Ford Escape Limited AWD,All-wheel drive
1538,2010 Ford Escape Limited AWD FFV,All-wheel drive
1539,2011 Nissan Versa Sedan 1.8 SL,Front-wheel drive
1540,2011 Nissan Versa Sedan 1.8 S,Front-wheel drive
1541,2011 Nissan Versa Sedan 1.8 S AT,Front-wheel drive
1542,2011 Nissan Versa Sedan 1.6,Front-wheel drive
1543,2011 Nissan Versa Sedan 1.6 AT,Front-wheel drive
1544,2011 Nissan Versa 1.6 Sedan,Front-wheel drive
1545,2011 Cadillac Escalade ESV AWD,All-wheel drive
1546,2011 Cadillac Escalade ESV Luxury,Rear-wheel drive
1547,2011 Cadillac Escalade ESV Luxury AWD,All-wheel drive
1548,2011 Cadillac Escalade ESV Premium,Rear-wheel drive
1549,2011 Cadillac Escalade ESV Premium AWD,All-wheel drive
1550,2011 Cadillac Escalade ESV Platinum,Rear-wheel drive
1551,2011 Cadillac Escalade ESV Platinum AWD,All-wheel drive
1552,2010 Nissan Versa Sedan 1.8 S,Front-wheel drive
1553,2010 Nissan Versa Sedan 1.6 AT,Front-wheel drive
1554,2010 Nissan Versa Sedan 1.8 S AT,Front-wheel drive
1555,2010 Nissan Versa Sedan 1.6,Front-wheel drive
1556,2010 Nissan Versa Sedan 1.8 SL,Front-wheel drive
1557,2010 Nissan Versa 1.6 Sedan,Front-wheel drive
1558,2011 BMW 328i Sports Wagon,Rear-wheel drive
1559,2011 BMW 328i Sports Wagon AT,Rear-wheel drive
1560,2011 BMW 328i xDrive Sports Wagon,All-wheel drive
1561,2011 BMW 328i xDrive Sports Wagon AT,All-wheel drive
1562,2010 Cadillac Escalade ESV,Rear-wheel drive
1563,2010 Cadillac Escalade ESV AWD,All-wheel drive
1564,2010 Cadillac Escalade ESV Luxury,Rear-wheel drive
1565,2010 Cadillac Escalade ESV Luxury AWD,All-wheel drive
1566,2010 Cadillac Escalade ESV Premium,Rear-wheel drive
1567,2010 Cadillac Escalade ESV Premium AWD,All-wheel drive
1568,2010 Cadillac Escalade ESV Platinum,Rear-wheel drive
1569,2010 Cadillac Escalade ESV Platinum AWD,All-wheel drive
1570,2011 Cadillac Escalade Hybrid,Rear-wheel drive
1571,2011 Cadillac Escalade Hybrid 4WD,All-wheel drive
1572,2011 Cadillac Escalade Hybrid Platinum,Rear-wheel drive
1573,2011 Cadillac Escalade Hybrid Platinum 4WD,All-wheel drive
1574,2011 Dodge Avenger Mainstreet,Front-wheel drive
1575,2011 Dodge Avenger Express,Front-wheel drive
1576,2011 Dodge Avenger Heat,Front-wheel drive
1577,2011 Dodge Avenger Lux,Front-wheel drive
1578,2011 Honda CR-V LX,Front-wheel drive
1579,2011 Honda CR-V LX 4WD,All-wheel drive
1580,2011 Honda CR-V SE,Front-wheel drive
1581,2011 Honda CR-V SE 4WD,All-wheel drive
1582,2011 Honda CR-V EX,Front-wheel drive
1583,2011 Honda CR-V EX 4WD,All-wheel drive
1584,2011 Honda CR-V EX-L,Front-wheel drive
1585,2011 Honda CR-V EX-L 4WD,All-wheel drive
1586,2010 Dodge Avenger SXT,Front-wheel drive
1587,2010 Dodge Avenger Express,Front-wheel drive
1588,2010 Dodge Avenger R/T,Front-wheel drive
1589,2010 Honda CR-V LX,Front-wheel drive
1590,2010 Honda CR-V LX 4WD,All-wheel drive
1591,2010 Honda CR-V EX,Front-wheel drive
1592,2010 Honda CR-V EX 4WD,All-wheel drive
1593,2010 Honda CR-V EX-L,Front-wheel drive
1594,2010 Honda CR-V EX-L 4WD,All-wheel drive
1595,2010 Cadillac Escalade Hybrid,Rear-wheel drive
1596,2010 Cadillac Escalade Hybrid Platinum,Rear-wheel drive
1597,2010 Cadillac DTS,Front-wheel drive
1598,2010 Cadillac DTS Luxury,Front-wheel drive
1599,2010 Cadillac DTS Premium,Front-wheel drive
1600,2010 Cadillac DTS Platinum,Front-wheel drive
1601,2011 Honda Element LX,Front-wheel drive
1602,2011 Honda Element LX 4WD,All-wheel drive
1603,2011 Honda Element EX,Front-wheel drive
1604,2011 Honda Element EX 4WD,All-wheel drive
1605,2010 Cadillac SRX,Front-wheel drive
1606,2010 Cadillac SRX Luxury,Front-wheel drive
1607,2010 Cadillac SRX Luxury AWD,All-wheel drive
1608,2010 Cadillac SRX Performance,Front-wheel drive
1609,2010 Cadillac SRX Performance AWD,All-wheel drive
1610,2010 Cadillac SRX Performance 2.8L Turbo AWD,All-wheel drive
1611,2010 Cadillac SRX Premium,Front-wheel drive
1612,2010 Cadillac SRX Premium AWD,All-wheel drive
1613,2010 Cadillac SRX Premium 2.8L Turbo AWD,All-wheel drive
1614,2011 Cadillac Escalade,Rear-wheel drive
1615,2011 Cadillac Escalade AWD,All-wheel drive
1616,2011 Cadillac Escalade Luxury,Rear-wheel drive
1617,2011 Cadillac Escalade Luxury AWD,All-wheel drive
1618,2011 Cadillac Escalade Premium,Rear-wheel drive
1619,2011 Cadillac Escalade Premium AWD,All-wheel drive
1620,2011 Cadillac Escalade Platinum,Rear-wheel drive
1621,2011 Cadillac Escalade Platinum AWD,All-wheel drive
1622,2011 Nissan Xterra Pro-4X,All-wheel drive
1623,2011 Nissan Xterra X,Rear-wheel drive
1624,2011 Nissan Xterra X 4x4,All-wheel drive
1625,2011 Nissan Xterra Pro-4X AT,All-wheel drive
1626,2011 Nissan Xterra S,Rear-wheel drive
1627,2011 Nissan Xterra S 4x4,All-wheel drive
1628,2011 Nissan Xterra S 4x4 AT,All-wheel drive
1629,2010 Nissan Xterra S 4x4,All-wheel drive
1630,2010 Nissan Xterra SE 4x4,All-wheel drive
1631,2010 Nissan Xterra SE,Rear-wheel drive
1632,2010 Nissan Xterra X,Rear-wheel drive
1633,2010 Nissan Xterra X 4x4,All-wheel drive
1634,2010 Nissan Xterra X 4x4 AT,All-wheel drive
1635,2010 Nissan Xterra X AT,Rear-wheel drive
1636,2010 Nissan Xterra Off-Road,All-wheel drive
1637,2010 Nissan Xterra S,Rear-wheel drive
1638,2012 Nissan Altima Coupe 2.5 S MT,Front-wheel drive
1639,2012 Nissan Altima Coupe 3.5 SR MT,Front-wheel drive
1640,2010 BMW 535i xDrive Sedan,All-wheel drive
1641,2010 BMW 528i Sedan AT,Rear-wheel drive
1642,2010 BMW 550i Sedan AT,Rear-wheel drive
1643,2010 BMW 528i Sedan,Rear-wheel drive
1644,2010 BMW 535i xDrive Sedan AT,All-wheel drive
1645,2010 BMW 528i xDrive Sedan AT,All-wheel drive
1646,2010 BMW 550i Sedan,Rear-wheel drive
1647,2010 BMW 528i xDrive Sedan,All-wheel drive
1648,2010 BMW 535i Sedan AT,Rear-wheel drive
1649,2010 BMW 535i Sedan,Rear-wheel drive
1650,2010 Mercedes-Benz ML550 4MATIC,All-wheel drive
1651,2010 Mercedes-Benz ML350 BlueTEC,All-wheel drive
1652,2010 Mercedes-Benz ML63 AMG,All-wheel drive
1653,2010 Mercedes-Benz ML350 4MATIC,All-wheel drive
1654,2010 Mercedes-Benz ML350,Rear-wheel drive
1655,2011 Mercedes-Benz ML350,Rear-wheel drive
1657,2011 Mercedes-Benz ML350 BlueTEC,All-wheel drive
1659,2011 Mercedes-Benz ML550 4MATIC,All-wheel drive
1661,2012 Nissan Sentra SE-R Spec V,Front-wheel drive
1662,2012 Nissan Sentra 2.0,Front-wheel drive
1663,2012 Nissan Versa Hatchback 1.8 S AT,Front-wheel drive
1664,2012 Nissan Versa Hatchback 1.8 S,Front-wheel drive
1665,2011 Toyota Sienna,Front-wheel drive
1666,2011 Toyota Sienna 3.5L,Front-wheel drive
1667,2011 Toyota Sienna LE,Front-wheel drive
1668,2011 Toyota Sienna LE 3.5L,Front-wheel drive
1669,2011 Toyota Sienna LE 3.5L AWD,All-wheel drive
1670,2011 Toyota Sienna LE Mobility Auto Access,Front-wheel drive
1671,2011 Toyota Sienna SE,Front-wheel drive
1672,2011 Toyota Sienna XLE,Front-wheel drive
1673,2011 Toyota Sienna XLE AWD,All-wheel drive
1674,2011 Toyota Sienna XLE Mobility Auto Access,Front-wheel drive
1675,2011 Toyota Sienna Limited,Front-wheel drive
1676,2011 Toyota Sienna Limited AWD,All-wheel drive
1677,2011 BMW 550i Sedan,Rear-wheel drive
1678,2011 BMW 535i Sedan AT,Rear-wheel drive
1679,2011 BMW 535i Sedan,Rear-wheel drive
1680,2011 BMW 550i Sedan AT,Rear-wheel drive
1681,2012 Nissan Versa Sedan 1.6 S,Front-wheel drive
1682,2011 Mercedes-Benz SL550,Rear-wheel drive
1683,2011 Mercedes-Benz SL63 AMG,Rear-wheel drive
1684,2011 Mercedes-Benz SL65 AMG,Rear-wheel drive
1685,2010 Mercedes-Benz SLK300,Rear-wheel drive
1686,2010 Mercedes-Benz SLK350,Rear-wheel drive
1687,2010 Mercedes-Benz SLK55 AMG,Rear-wheel drive
1688,2011 Mercedes-Benz SLK300,Rear-wheel drive
1689,2011 Mercedes-Benz SLK350,Rear-wheel drive
1690,2010 Mercedes-Benz SLK300 AT,Rear-wheel drive
1691,2011 Lincoln MKS AWD,All-wheel drive
1692,2011 Lincoln MKS Ecoboost,All-wheel drive
1693,2011 Lincoln MKS,Front-wheel drive
1694,2010 Lincoln MKS,Front-wheel drive
1695,2010 Lincoln MKS Ecoboost,All-wheel drive
1696,2010 Lincoln MKS AWD,All-wheel drive
1697,2010 BMW 535i xDrive Sports Wagon AT,All-wheel drive
1698,2010 BMW 535i xDrive Sports Wagon,All-wheel drive
1699,2011 Mercedes-Benz SLK300 AT,Rear-wheel drive
1700,2011 Lincoln MKT Ecoboost,All-wheel drive
1701,2011 Lincoln MKT AWD,All-wheel drive
1702,2011 Lincoln MKT,Front-wheel drive
1703,2010 Lincoln MKT,Front-wheel drive
1704,2010 Lincoln MKT AWD,All-wheel drive
1705,2010 Lincoln MKT Ecoboost,All-wheel drive
1706,2011 Lincoln MKX,Front-wheel drive
1707,2011 Lincoln MKX AWD,All-wheel drive
1708,2010 Lincoln MKX AWD,All-wheel drive
1709,2010 Lincoln MKX,Front-wheel drive
1710,2010 Cadillac Escalade,Rear-wheel drive
1711,2010 Cadillac Escalade AWD,All-wheel drive
1712,2010 Cadillac Escalade Luxury,Rear-wheel drive
1713,2010 Cadillac Escalade Luxury AWD,All-wheel drive
1714,2010 Cadillac Escalade Premium,Rear-wheel drive
1715,2010 Cadillac Escalade Premium AWD,All-wheel drive
1716,2010 Cadillac Escalade Platinum,Rear-wheel drive
1717,2010 Cadillac Escalade Platinum AWD,All-wheel drive
1718,2011 Lincoln MKZ Sedan,Front-wheel drive
1719,2011 Lincoln MKZ Sedan AWD,All-wheel drive
1720,2010 Lincoln MKZ Sedan AWD,All-wheel drive
1721,2010 Lincoln MKZ Sedan,Front-wheel drive
1722,2010 Mazda CX-9 Sport,Front-wheel drive
1723,2010 Mazda CX-9 Sport AWD,All-wheel drive
1724,2010 Mazda CX-9 Touring,Front-wheel drive
1725,2010 Mazda CX-9 Touring AWD,All-wheel drive
1726,2010 Mazda CX-9 Grand Touring,Front-wheel drive
1727,2010 Mazda CX-9 Grand Touring AWD,All-wheel drive
1728,2010 Toyota Sienna CE,Front-wheel drive
1729,2010 Toyota Sienna CE 8-Passenger,Front-wheel drive
1730,2010 Toyota Sienna LE,Front-wheel drive
1731,2010 Toyota Sienna LE AWD,All-wheel drive
1732,2010 Toyota Sienna LE 8-Passenger,Front-wheel drive
1733,2010 Toyota Sienna XLE,Front-wheel drive
1734,2010 Toyota Sienna XLE AWD,Front-wheel drive
1735,2010 Toyota Sienna Limited,Front-wheel drive
1736,2010 Toyota Sienna Limited AWD,All-wheel drive
1737,2010 Honda Element LX,Front-wheel drive
1738,2010 Honda Element LX 4WD,All-wheel drive
1739,2010 Honda Element EX,Front-wheel drive
1740,2010 Honda Element EX 4WD,All-wheel drive
1741,2010 Honda Element EX 4WD AT,All-wheel drive
1742,2010 Honda Element SC,Front-wheel drive
1743,2010 Honda Element SC AT,Front-wheel drive
1744,2011 Mazda Mazda2 Sport,Front-wheel drive
1745,2011 Mazda Mazda2 Sport AT,Front-wheel drive
1746,2011 Mazda Mazda2 Touring,Front-wheel drive
1747,2011 Mazda Mazda2 Touring AT,Front-wheel drive
1748,2011 Mazda Mazda3 4-Door i SV,Front-wheel drive
1749,2011 Mazda Mazda3 4-Door i Sport,Front-wheel drive
1750,2011 Mazda Mazda3 4-Door i Sport AT,Front-wheel drive
1751,2011 Mazda Mazda3 4-Door i Touring,Front-wheel drive
1752,2011 Mazda Mazda3 4-Door i Touring AT,Front-wheel drive
1753,2011 Mazda Mazda3 4-Door s Sport,Front-wheel drive
1754,2011 Mazda Mazda3 4-Door s Sport AT,Front-wheel drive
1755,2011 Mazda Mazda3 4-Door s Grand Touring,Front-wheel drive
1756,2011 Mazda Mazda3 4-Door s Grand Touring AT,Front-wheel drive
1757,2011 Mazda Mazda3 5-Door s Sport,Front-wheel drive
1758,2011 Mazda Mazda3 5-Door s Sport AT,Front-wheel drive
1759,2011 Mazda Mazda3 5-Door s Grand Touring,Front-wheel drive
1760,2011 Mazda Mazda3 5-Door s Grand Touring AT,Front-wheel drive
1761,2012 Ford Explorer,Front-wheel drive
1762,2012 Ford Explorer EcoBoost,Front-wheel drive
1763,2012 Ford Explorer 4WD,All-wheel drive
1764,2012 Ford Explorer XLT,Front-wheel drive
1765,2012 Ford Explorer XLT EcoBoost,Front-wheel drive
1766,2012 Ford Explorer XLT 4WD,All-wheel drive
1767,2012 Ford Explorer Limited,Front-wheel drive
1768,2012 Ford Explorer Limited EcoBoost,Front-wheel drive
1769,2012 Ford Explorer Limited 4WD,All-wheel drive
1770,2010 Mazda Mazda3 5-Door s Sport,Front-wheel drive
1771,2010 Mazda Mazda3 5-Door s Sport AT,Front-wheel drive
1772,2010 Mazda Mazda3 5-Door s Grand Touring,Front-wheel drive
1773,2010 Mazda Mazda3 5-Door s Grand Touring AT,Front-wheel drive
1774,2011 Ford Explorer,Front-wheel drive
1775,2011 Ford Explorer 4WD,All-wheel drive
1776,2011 Ford Explorer XLT,Front-wheel drive
1777,2011 Ford Explorer XLT 4WD,All-wheel drive
1778,2011 Ford Explorer Limited,Front-wheel drive
1779,2011 Ford Explorer Limited 4WD,All-wheel drive
1780,2010 Mazda Mazda3 4-Door i SV,Front-wheel drive
1781,2010 Mazda Mazda3 4-Door i Sport,Front-wheel drive
1782,2010 Mazda Mazda3 4-Door i Sport AT,Front-wheel drive
1783,2010 Mazda Mazda3 4-Door i Touring,Front-wheel drive
1784,2010 Mazda Mazda3 4-Door i Touring AT,Front-wheel drive
1785,2010 Mazda Mazda3 4-Door s Sport,Front-wheel drive
1786,2010 Mazda Mazda3 4-Door s Sport AT,Front-wheel drive
1787,2010 Mazda Mazda3 4-Door s Grand Touring,Front-wheel drive
1788,2010 Mazda Mazda3 4-Door s Grand Touring AT,Front-wheel drive
1789,2011 Mazda Mazdaspeed3 Sport,Front-wheel drive
1790,2010 Mazda Mazdaspeed3 Sport,Front-wheel drive
1791,2010 Ford Explorer XLT,Front-wheel drive
1792,2010 Ford Explorer XLT 4WD,All-wheel drive
1793,2010 Ford Explorer XLT AWD,All-wheel drive
1794,2010 Ford Explorer XLT 4.6L 4WD,All-wheel drive
1795,2010 Ford Explorer Eddie Bauer,Front-wheel drive
1796,2010 Ford Explorer Eddie Bauer 4WD,All-wheel drive
1797,2010 Ford Explorer Eddie Bauer 4.6L 4WD,All-wheel drive
1798,2010 Ford Explorer Limited,Front-wheel drive
1799,2010 Ford Explorer Limited 4WD,All-wheel drive
1800,2010 Ford Explorer Limited AWD,All-wheel drive
1801,2010 Ford Explorer Limited 4.6L AWD,All-wheel drive
1802,2012 Mazda Mazda5 Sport,Front-wheel drive
1803,2012 Mazda Mazda5 Sport AT,Front-wheel drive
1804,2012 Mazda Mazda5 Touring,Front-wheel drive
1805,2012 Mazda Mazda5 Grand Touring,Front-wheel drive
1806,2010 Mazda Mazda5 Sport,Front-wheel drive
1807,2010 Mazda Mazda5 Sport AT,Front-wheel drive
1808,2010 Mazda Mazda5 Touring,Front-wheel drive
1809,2010 Mazda Mazda5 Grand Touring,Front-wheel drive
1810,2011 Honda Pilot LX,Front-wheel drive
1811,2011 Honda Pilot LX 4WD,All-wheel drive
1812,2011 Honda Pilot EX,Front-wheel drive
1813,2011 Honda Pilot EX 4WD,All-wheel drive
1814,2011 Honda Pilot EX-L,Front-wheel drive
1815,2011 Honda Pilot EX-L 4WD,All-wheel drive
1816,2011 Honda Pilot Touring,Front-wheel drive
1817,2011 Honda Pilot Touring 4WD,All-wheel drive
1818,2012 Mazda Mazda6 i Sport,Front-wheel drive
1819,2012 Mazda Mazda6 i Sport AT,Front-wheel drive
1820,2012 Mazda Mazda6 i Touring,Front-wheel drive
1821,2012 Mazda Mazda6 i Touring Plus,Front-wheel drive
1822,2012 Mazda Mazda6 i Grand Touring,Front-wheel drive
1823,2012 Mazda Mazda6 s Touring Plus,Front-wheel drive
1824,2012 Mazda Mazda6 s Grand Touring,Front-wheel drive
1825,2011 Cadillac CTS Sport Wagon,Rear-wheel drive
1826,2011 Cadillac CTS Sport Wagon AWD,All-wheel drive
1827,2011 Cadillac CTS Sport Wagon Luxury,Rear-wheel drive
1828,2011 Cadillac CTS Sport Wagon Luxury AWD,All-wheel drive
1829,2011 Cadillac CTS Sport Wagon Performance,Rear-wheel drive
1830,2011 Cadillac CTS Sport Wagon Performance AWD,All-wheel drive
1831,2011 Cadillac CTS Sport Wagon Performance 3.6L,Rear-wheel drive
1832,2011 Cadillac CTS Sport Wagon Performance 3.6L AWD,All-wheel drive
1833,2011 Cadillac CTS Sport Wagon Premium,Rear-wheel drive
1834,2011 Cadillac CTS Sport Wagon Premium AWD,All-wheel drive
1835,2011 Lincoln Navigator L 4WD,All-wheel drive
1836,2011 Lincoln Navigator 4WD,All-wheel drive
1837,2011 Lincoln Navigator,Rear-wheel drive
1838,2011 Lincoln Navigator L,Rear-wheel drive
1839,2010 Lincoln Navigator L,Rear-wheel drive
1840,2010 Lincoln Navigator,Rear-wheel drive
1841,2011 Lincoln Town Car Signature Limited,Rear-wheel drive
1842,2011 Lincoln Town Car Signature L,Rear-wheel drive
1843,2010 Lincoln Town Car Signature L,Rear-wheel drive
1844,2010 Lincoln Town Car Signature Limited,Rear-wheel drive
1845,2011 Mercedes-Benz C300 Sport,Rear-wheel drive
1846,2010 BMW 535i Gran Turismo,Rear-wheel drive
1847,2010 BMW 550i Gran Turismo,Rear-wheel drive
1848,2010 BMW 550i xDrive Gran Turismo,All-wheel drive
1849,2010 Infiniti FX35,Rear-wheel drive
1850,2010 Infiniti FX35 AWD,All-wheel drive
1851,2010 Infiniti FX50 AWD,All-wheel drive
1852,2011 Mercedes-Benz C300 Sport AT,Rear-wheel drive
1853,2011 Mercedes-Benz C300 4Matic Sport,All-wheel drive
1854,2010 Cadillac CTS Sport Wagon,Rear-wheel drive
1855,2010 Cadillac CTS Sport Wagon AWD,All-wheel drive
1856,2010 Cadillac CTS Sport Wagon Luxury,Rear-wheel drive
1857,2010 Cadillac CTS Sport Wagon Luxury AWD,All-wheel drive
1858,2010 Cadillac CTS Sport Wagon Performance,Rear-wheel drive
1859,2010 Cadillac CTS Sport Wagon Performance AWD,All-wheel drive
1860,2010 Cadillac CTS Sport Wagon Performance 3.6L,Rear-wheel drive
1861,2010 Cadillac CTS Sport Wagon Performance 3.6L AWD,All-wheel drive
1862,2010 Cadillac CTS Sport Wagon Premium,Rear-wheel drive
1863,2010 Cadillac CTS Sport Wagon Premium AWD,All-wheel drive
1864,2011 Infiniti FX35,Rear-wheel drive
1865,2011 Infiniti FX35 AWD,All-wheel drive
1866,2011 Infiniti FX50 AWD,All-wheel drive
1867,2010 Mercedes-Benz C300 Luxury Driver-Adaptive AT,Rear-wheel drive
1868,2012 Infiniti M Hybrid,Rear-wheel drive
1869,2011 Cadillac STS,Rear-wheel drive
1870,2011 Cadillac STS AWD,All-wheel drive
1871,2011 Cadillac STS Luxury,Rear-wheel drive
1872,2011 Cadillac STS Luxury AWD,All-wheel drive
1873,2011 Cadillac STS Premium,Rear-wheel drive
1874,2009 Infiniti M M35,Rear-wheel drive
1875,2011 Dodge Caliber Express,Front-wheel drive
1876,2011 Dodge Caliber Heat,Front-wheel drive
1877,2011 Dodge Caliber Rush,Front-wheel drive
1878,2011 Mercedes-Benz C300 Luxury  Driver-Adaptive AT,Rear-wheel drive
1879,2010 Dodge Caliber Express,Front-wheel drive
1880,2010 Dodge Caliber SXT Fleet,Front-wheel drive
1881,2010 Dodge Caliber Rush,Front-wheel drive
1882,2010 Dodge Caliber R/T Fleet,Front-wheel drive
