id,car_id,transmission
1479,2012 Ford Escape XLS AWD,Automatic transmission
1480,2012 Ford Escape XLT,Automatic transmission
1481,2012 Ford Escape XLT FFV,Automatic transmission
1482,2012 Ford Escape XLT 4WD,Automatic transmission
1483,2012 Ford Escape XLT 4WD FFV,Automatic transmission
1484,2012 Ford Escape Limited,Automatic transmission
1485,2012 Ford Escape Limited FFV,Automatic transmission
1486,2012 Ford Escape Limited 4WD,Automatic transmission
1487,2012 Ford Escape Limited 4WD FFV,Automatic transmission
1488,2011 Ford Escape XLS,Manual transmission
1489,2011 Ford Escape XLS AT,Automatic transmission
1490,2011 Ford Escape XLS AWD,Automatic transmission
1491,2011 Ford Escape XLT,Automatic transmission
1492,2011 Ford Escape XLT FFV,Automatic transmission
1493,2011 Ford Escape XLT AWD,Automatic transmission
1494,2011 Ford Escape XLT AWD FFV,Automatic transmission
1495,2011 Ford Escape Limited,Automatic transmission
1496,2011 Ford Escape Limited FFV,Automatic transmission
1497,2011 Ford Escape Limited AWD,Automatic transmission
1498,2010 Mercedes-Benz R350 BlueTEC 4Matic,Automatic transmission
1499,2010 Mercedes-Benz R350 4Matic,Automatic transmission
1500,2011 Mercedes-Benz R350 BlueTEC 4Matic,Automatic transmission
1501,2011 Mercedes-Benz R350 4Matic,Automatic transmission
1502,2012 Chevrolet Cruze LS,Manual transmission
1503,2012 Chevrolet Cruze LS AT,Automatic transmission
1504,2012 Chevrolet Cruze 1LT,Manual transmission
1505,2012 Chevrolet Cruze 1LT AT,Automatic transmission
1506,2012 Chevrolet Cruze Eco,Manual transmission
1507,2012 Chevrolet Cruze Eco AT,Automatic transmission
1508,2012 Chevrolet Cruze 2LT,Manual transmission
1509,2012 Chevrolet Cruze 2LT AT,Automatic transmission
1510,2012 Chevrolet Cruze LTZ,Automatic transmission
1511,2010 BMW 328i xDrive Sports Wagon AT,Automatic transmission
1512,2010 BMW 328i Sports Wagon,Manual transmission
1513,2010 BMW 328i xDrive Sports Wagon,Manual transmission
1514,2010 BMW 328i Sports Wagon AT,Automatic transmission
1515,2011 Chevrolet Cruze LS,Manual transmission
1516,2011 Chevrolet Cruze LS AT,Automatic transmission
1517,2011 Chevrolet Cruze 1LT,Automatic transmission
1518,2011 Chevrolet Cruze Eco,Manual transmission
1519,2011 Chevrolet Cruze Eco AT,Automatic transmission
1520,2011 Chevrolet Cruze 2LT,Automatic transmission
1521,2011 Chevrolet Cruze LTZ,Automatic transmission
1522,2011 Cadillac SRX,Automatic transmission
1523,2011 Cadillac SRX Luxury,Automatic transmission
1524,2011 Cadillac SRX Performance,Automatic transmission
1525,2011 Cadillac SRX Luxury AWD,Automatic transmission
1526,2011 Cadillac SRX Premium,Automatic transmission
1527,2011 Cadillac SRX Premium AWD,Automatic transmission
1528,2011 Cadillac SRX Performance AWD,Automatic transmission
1529,2010 Ford Escape XLS,Manual transmission
1530,2010 Ford Escape XLS AT,Automatic transmission
1531,2010 Ford Escape XLS AWD,Automatic transmission
1532,2010 Ford Escape XLT,Automatic transmission
1533,2010 Ford Escape XLT FFV,Automatic transmission
1534,2010 Ford Escape XLT AWD,Automatic transmission
1535,2010 Ford Escape XLT AWD FFV,Automatic transmission
1536,2010 Ford Escape Limited,Automatic transmission
1537,2010 Ford Escape Limited FFV,Automatic transmission
1538,2010 Ford Escape Limited AWD,Automatic transmission
1539,2010 Ford Escape Limited AWD FFV,Automatic transmission
1540,2011 Nissan Versa Sedan 1.8 SL,Automatic transmission
1541,2011 Nissan Versa Sedan 1.8 S,Manual transmission
1542,2011 Nissan Versa Sedan 1.8 S AT,Automatic transmission
1543,2011 Nissan Versa Sedan 1.6,Manual transmission
1544,2011 Nissan Versa Sedan 1.6 AT,Automatic transmission
1545,2011 Nissan Versa 1.6 Sedan,Manual transmission
1546,2011 Cadillac Escalade ESV AWD,Automatic transmission
1547,2011 Cadillac Escalade ESV Luxury,Automatic transmission
1548,2011 Cadillac Escalade ESV Luxury AWD,Automatic transmission
1549,2011 Cadillac Escalade ESV Premium,Automatic transmission
1550,2011 Cadillac Escalade ESV Premium AWD,Automatic transmission
1551,2011 Cadillac Escalade ESV Platinum,Automatic transmission
1552,2011 Cadillac Escalade ESV Platinum AWD,Automatic transmission
1553,2010 Nissan Versa Sedan 1.8 S,Manual transmission
1554,2010 Nissan Versa Sedan 1.6 AT,Automatic transmission
1555,2010 Nissan Versa Sedan 1.8 S AT,Automatic transmission
1556,2010 Nissan Versa Sedan 1.6,Manual transmission
1557,2010 Nissan Versa Sedan 1.8 SL,Automatic transmission
1558,2010 Nissan Versa 1.6 Sedan,Manual transmission
1559,2011 BMW 328i Sports Wagon,Manual transmission
1560,2011 BMW 328i Sports Wagon AT,Automatic transmission
1561,2011 BMW 328i xDrive Sports Wagon,Manual transmission
1562,2011 BMW 328i xDrive Sports Wagon AT,Automatic transmission
1563,2010 Cadillac Escalade ESV,Automatic transmission
1564,2010 Cadillac Escalade ESV AWD,Automatic transmission
1565,2010 Cadillac Escalade ESV Luxury,Automatic transmission
1566,2010 Cadillac Escalade ESV Luxury AWD,Automatic transmission
1567,2010 Cadillac Escalade ESV Premium,Automatic transmission
1568,2010 Cadillac Escalade ESV Premium AWD,Automatic transmission
1569,2010 Cadillac Escalade ESV Platinum,Automatic transmission
1570,2010 Cadillac Escalade ESV Platinum AWD,Automatic transmission
1571,2011 Cadillac Escalade Hybrid,Automatic transmission
1572,2011 Cadillac Escalade Hybrid 4WD,Automatic transmission
1573,2011 Cadillac Escalade Hybrid Platinum,Automatic transmission
1574,2011 Cadillac Escalade Hybrid Platinum 4WD,Automatic transmission
1575,2011 Dodge Avenger Mainstreet,Automatic transmission
1576,2011 Dodge Avenger Express,Automatic transmission
1577,2011 Dodge Avenger Heat,Automatic transmission
1578,2011 Dodge Avenger Lux,Automatic transmission
1579,2011 Honda CR-V LX,Automatic transmission
1580,2011 Honda CR-V LX 4WD,Automatic transmission
1581,2011 Honda CR-V SE,Automatic transmission
1582,2011 Honda CR-V SE 4WD,Automatic transmission
1583,2011 Honda CR-V EX,Automatic transmission
1584,2011 Honda CR-V EX 4WD,Automatic transmission
1585,2011 Honda CR-V EX-L,Automatic transmission
1586,2011 Honda CR-V EX-L 4WD,Automatic transmission
1587,2010 Dodge Avenger SXT,Automatic transmission
1588,2010 Dodge Avenger Express,Automatic transmission
1589,2010 Dodge Avenger R/T,Automatic transmission
1590,2010 Honda CR-V LX,Automatic transmission
1591,2010 Honda CR-V LX 4WD,Automatic transmission
1592,2010 Honda CR-V EX,Automatic transmission
1593,2010 Honda CR-V EX 4WD,Automatic transmission
1594,2010 Honda CR-V EX-L,Automatic transmission
1595,2010 Honda CR-V EX-L 4WD,Automatic transmission
1596,2010 Cadillac Escalade Hybrid,Automatic transmission
1597,2010 Cadillac Escalade Hybrid Platinum,Automatic transmission
1598,2010 Cadillac DTS,Automatic transmission
1599,2010 Cadillac DTS Luxury,Automatic transmission
1600,2010 Cadillac DTS Premium,Automatic transmission
1601,2010 Cadillac DTS Platinum,Automatic transmission
1602,2011 Honda Element LX,Automatic transmission
1603,2011 Honda Element LX 4WD,Automatic transmission
1604,2011 Honda Element EX,Automatic transmission
1605,2011 Honda Element EX 4WD,Automatic transmission
1606,2010 Cadillac SRX,Automatic transmission
1607,2010 Cadillac SRX Luxury,Automatic transmission
1608,2010 Cadillac SRX Luxury AWD,Automatic transmission
1609,2010 Cadillac SRX Performance,Automatic transmission
1610,2010 Cadillac SRX Performance AWD,Automatic transmission
1611,2010 Cadillac SRX Performance 2.8L Turbo AWD,Automatic transmission
1612,2010 Cadillac SRX Premium,Automatic transmission
1613,2010 Cadillac SRX Premium AWD,Automatic transmission
1614,2010 Cadillac SRX Premium 2.8L Turbo AWD,Automatic transmission
1615,2011 Cadillac Escalade,Automatic transmission
1616,2011 Cadillac Escalade AWD,Automatic transmission
1617,2011 Cadillac Escalade Luxury,Automatic transmission
1618,2011 Cadillac Escalade Luxury AWD,Automatic transmission
1619,2011 Cadillac Escalade Premium,Automatic transmission
1620,2011 Cadillac Escalade Premium AWD,Automatic transmission
1621,2011 Cadillac Escalade Platinum,Automatic transmission
1622,2011 Cadillac Escalade Platinum AWD,Automatic transmission
1623,2011 Nissan Xterra Pro-4X,Manual transmission
1624,2011 Nissan Xterra X,Automatic transmission
1625,2011 Nissan Xterra X 4x4,Automatic transmission
1626,2011 Nissan Xterra Pro-4X AT,Automatic transmission
1627,2011 Nissan Xterra S,Automatic transmission
1628,2011 Nissan Xterra S 4x4,Manual transmission
1629,2011 Nissan Xterra S 4x4 AT,Automatic transmission
1630,2010 Nissan Xterra S 4x4,Automatic transmission
1631,2010 Nissan Xterra SE 4x4,Automatic transmission
1632,2010 Nissan Xterra SE,Automatic transmission
1633,2010 Nissan Xterra X,Manual transmission
1634,2010 Nissan Xterra X 4x4,Manual transmission
1635,2010 Nissan Xterra X 4x4 AT,Automatic transmission
1636,2010 Nissan Xterra X AT,Automatic transmission
1637,2010 Nissan Xterra Off-Road,Manual transmission
1638,2010 Nissan Xterra S,Automatic transmission
1639,2012 Nissan Altima Coupe 2.5 S MT,Manual transmission
1640,2012 Nissan Altima Coupe 3.5 SR MT,Manual transmission
1641,2010 BMW 535i xDrive Sedan,Manual transmission
1642,2010 BMW 528i Sedan AT,Automatic transmission
1643,2010 BMW 550i Sedan AT,Automatic transmission
1644,2010 BMW 528i Sedan,Manual transmission
1645,2010 BMW 535i xDrive Sedan AT,Automatic transmission
1646,2010 BMW 528i xDrive Sedan AT,Automatic transmission
1647,2010 BMW 550i Sedan,Manual transmission
1648,2010 BMW 528i xDrive Sedan,Manual transmission
1649,2010 BMW 535i Sedan AT,Automatic transmission
1650,2010 BMW 535i Sedan,Manual transmission
1651,2010 Mercedes-Benz ML550 4MATIC,Automatic transmission
1652,2010 Mercedes-Benz ML350 BlueTEC,Automatic transmission
1653,2010 Mercedes-Benz ML63 AMG,Automatic transmission
1654,2010 Mercedes-Benz ML350 4MATIC,Automatic transmission
1655,2010 Mercedes-Benz ML350,Automatic transmission
1656,2011 Mercedes-Benz ML350,Automatic transmission
1658,2011 Mercedes-Benz ML350 BlueTEC,Automatic transmission
1660,2011 Mercedes-Benz ML550 4MATIC,Automatic transmission
1662,2012 Nissan Sentra SE-R Spec V,Manual transmission
1663,2012 Nissan Sentra 2.0,Manual transmission
1664,2012 Nissan Versa Hatchback 1.8 S AT,Automatic transmission
1665,2012 Nissan Versa Hatchback 1.8 S,Manual transmission
1666,2011 Toyota Sienna,Automatic transmission
1667,2011 Toyota Sienna 3.5L,Automatic transmission
1668,2011 Toyota Sienna LE,Automatic transmission
1669,2011 Toyota Sienna LE 3.5L,Automatic transmission
1670,2011 Toyota Sienna LE 3.5L AWD,Automatic transmission
1671,2011 Toyota Sienna LE Mobility Auto Access,Automatic transmission
1672,2011 Toyota Sienna SE,Automatic transmission
1673,2011 Toyota Sienna XLE,Automatic transmission
1674,2011 Toyota Sienna XLE AWD,Automatic transmission
1675,2011 Toyota Sienna XLE Mobility Auto Access,Automatic transmission
1676,2011 Toyota Sienna Limited,Automatic transmission
1677,2011 Toyota Sienna Limited AWD,Automatic transmission
1678,2011 BMW 550i Sedan,Manual transmission
1679,2011 BMW 535i Sedan AT,Automatic transmission
1680,2011 BMW 535i Sedan,Manual transmission
1681,2011 BMW 550i Sedan AT,Automatic transmission
1682,2012 Nissan Versa Sedan 1.6 S,Manual transmission
1683,2011 Mercedes-Benz SL550,Automatic transmission
1684,2011 Mercedes-Benz SL63 AMG,Automatic transmission
1685,2011 Mercedes-Benz SL65 AMG,Automatic transmission
1686,2010 Mercedes-Benz SLK300,Manual transmission
1687,2010 Mercedes-Benz SLK350,Automatic transmission
1688,2010 Mercedes-Benz SLK55 AMG,Automatic transmission
1689,2011 Mercedes-Benz SLK300,Manual transmission
1690,2011 Mercedes-Benz SLK350,Automatic transmission
1691,2010 Mercedes-Benz SLK300 AT,Automatic transmission
1692,2011 Lincoln MKS AWD,Automatic transmission
1693,2011 Lincoln MKS Ecoboost,Automatic transmission
1694,2011 Lincoln MKS,Automatic transmission
1695,2010 Lincoln MKS,Automatic transmission
1696,2010 Lincoln MKS Ecoboost,Automatic transmission
1697,2010 Lincoln MKS AWD,Automatic transmission
1698,2010 BMW 535i xDrive Sports Wagon AT,Automatic transmission
1699,2010 BMW 535i xDrive Sports Wagon,Manual transmission
1700,2011 Mercedes-Benz SLK300 AT,Automatic transmission
1701,2011 Lincoln MKT Ecoboost,Automatic transmission
1702,2011 Lincoln MKT AWD,Automatic transmission
1703,2011 Lincoln MKT,Automatic transmission
1704,2010 Lincoln MKT,Automatic transmission
1705,2010 Lincoln MKT AWD,Automatic transmission
1706,2010 Lincoln MKT Ecoboost,Automatic transmission
1707,2011 Lincoln MKX,Automatic transmission
1708,2011 Lincoln MKX AWD,Automatic transmission
1709,2010 Lincoln MKX AWD,Automatic transmission
1710,2010 Lincoln MKX,Automatic transmission
1711,2010 Cadillac Escalade,Automatic transmission
1712,2010 Cadillac Escalade AWD,Automatic transmission
1713,2010 Cadillac Escalade Luxury,Automatic transmission
1714,2010 Cadillac Escalade Luxury AWD,Automatic transmission
1715,2010 Cadillac Escalade Premium,Automatic transmission
1716,2010 Cadillac Escalade Premium AWD,Automatic transmission
1717,2010 Cadillac Escalade Platinum,Automatic transmission
1718,2010 Cadillac Escalade Platinum AWD,Automatic transmission
1719,2011 Lincoln MKZ Sedan,Automatic transmission
1720,2011 Lincoln MKZ Sedan AWD,Automatic transmission
1721,2010 Lincoln MKZ Sedan AWD,Automatic transmission
1722,2010 Lincoln MKZ Sedan,Automatic transmission
1723,2010 Mazda CX-9 Sport,Automatic transmission
1724,2010 Mazda CX-9 Sport AWD,Automatic transmission
1725,2010 Mazda CX-9 Touring,Automatic transmission
1726,2010 Mazda CX-9 Touring AWD,Automatic transmission
1727,2010 Mazda CX-9 Grand Touring,Automatic transmission
1728,2010 Mazda CX-9 Grand Touring AWD,Automatic transmission
1729,2010 Toyota Sienna CE,Automatic transmission
1730,2010 Toyota Sienna CE 8-Passenger,Automatic transmission
1731,2010 Toyota Sienna LE,Automatic transmission
1732,2010 Toyota Sienna LE AWD,Automatic transmission
1733,2010 Toyota Sienna LE 8-Passenger,Automatic transmission
1734,2010 Toyota Sienna XLE,Automatic transmission
1735,2010 Toyota Sienna XLE AWD,Automatic transmission
1736,2010 Toyota Sienna Limited,Automatic transmission
1737,2010 Toyota Sienna Limited AWD,Automatic transmission
1738,2010 Honda Element LX,Automatic transmission
1739,2010 Honda Element LX 4WD,Automatic transmission
1740,2010 Honda Element EX,Automatic transmission
1741,2010 Honda Element EX 4WD,Manual transmission
1742,2010 Honda Element EX 4WD AT,Automatic transmission
1743,2010 Honda Element SC,Manual transmission
1744,2010 Honda Element SC AT,Automatic transmission
1745,2011 Mazda Mazda2 Sport,Manual transmission
1746,2011 Mazda Mazda2 Sport AT,Automatic transmission
1747,2011 Mazda Mazda2 Touring,Manual transmission
1748,2011 Mazda Mazda2 Touring AT,Automatic transmission
1749,2011 Mazda Mazda3 4-Door i SV,Manual transmission
1750,2011 Mazda Mazda3 4-Door i Sport,Manual transmission
1751,2011 Mazda Mazda3 4-Door i Sport AT,Automatic transmission
1752,2011 Mazda Mazda3 4-Door i Touring,Manual transmission
1753,2011 Mazda Mazda3 4-Door i Touring AT,Automatic transmission
1754,2011 Mazda Mazda3 4-Door s Sport,Manual transmission
1755,2011 Mazda Mazda3 4-Door s Sport AT,Automatic transmission
1756,2011 Mazda Mazda3 4-Door s Grand Touring,Manual transmission
1757,2011 Mazda Mazda3 4-Door s Grand Touring AT,Automatic transmission
1758,2011 Mazda Mazda3 5-Door s Sport,Manual transmission
1759,2011 Mazda Mazda3 5-Door s Sport AT,Automatic transmission
1760,2011 Mazda Mazda3 5-Door s Grand Touring,Manual transmission
1761,2011 Mazda Mazda3 5-Door s Grand Touring AT,Automatic transmission
1762,2012 Ford Explorer,Automatic transmission
1763,2012 Ford Explorer EcoBoost,Automatic transmission
1764,2012 Ford Explorer 4WD,Automatic transmission
1765,2012 Ford Explorer XLT,Automatic transmission
1766,2012 Ford Explorer XLT EcoBoost,Automatic transmission
1767,2012 Ford Explorer XLT 4WD,Automatic transmission
1768,2012 Ford Explorer Limited,Automatic transmission
1769,2012 Ford Explorer Limited EcoBoost,Automatic transmission
1770,2012 Ford Explorer Limited 4WD,Automatic transmission
1771,2010 Mazda Mazda3 5-Door s Sport,Manual transmission
1772,2010 Mazda Mazda3 5-Door s Sport AT,Automatic transmission
1773,2010 Mazda Mazda3 5-Door s Grand Touring,Manual transmission
1774,2010 Mazda Mazda3 5-Door s Grand Touring AT,Automatic transmission
1775,2011 Ford Explorer,Automatic transmission
1776,2011 Ford Explorer 4WD,Automatic transmission
1777,2011 Ford Explorer XLT,Automatic transmission
1778,2011 Ford Explorer XLT 4WD,Automatic transmission
1779,2011 Ford Explorer Limited,Automatic transmission
1780,2011 Ford Explorer Limited 4WD,Automatic transmission
1781,2010 Mazda Mazda3 4-Door i SV,Manual transmission
1782,2010 Mazda Mazda3 4-Door i Sport,Manual transmission
1783,2010 Mazda Mazda3 4-Door i Sport AT,Automatic transmission
1784,2010 Mazda Mazda3 4-Door i Touring,Manual transmission
1785,2010 Mazda Mazda3 4-Door i Touring AT,Automatic transmission
1786,2010 Mazda Mazda3 4-Door s Sport,Manual transmission
1787,2010 Mazda Mazda3 4-Door s Sport AT,Automatic transmission
1788,2010 Mazda Mazda3 4-Door s Grand Touring,Manual transmission
1789,2010 Mazda Mazda3 4-Door s Grand Touring AT,Automatic transmission
1790,2011 Mazda Mazdaspeed3 Sport,Manual transmission
1791,2010 Mazda Mazdaspeed3 Sport,Manual transmission
1792,2010 Ford Explorer XLT,Automatic transmission
1793,2010 Ford Explorer XLT 4WD,Automatic transmission
1794,2010 Ford Explorer XLT AWD,Automatic transmission
1795,2010 Ford Explorer XLT 4.6L 4WD,Automatic transmission
1796,2010 Ford Explorer Eddie Bauer,Automatic transmission
1797,2010 Ford Explorer Eddie Bauer 4WD,Automatic transmission
1798,2010 Ford Explorer Eddie Bauer 4.6L 4WD,Automatic transmission
1799,2010 Ford Explorer Limited,Automatic transmission
1800,2010 Ford Explorer Limited 4WD,Automatic transmission
1801,2010 Ford Explorer Limited AWD,Automatic transmission
1802,2010 Ford Explorer Limited 4.6L AWD,Automatic transmission
1803,2012 Mazda Mazda5 Sport,Manual transmission
1804,2012 Mazda Mazda5 Sport AT,Automatic transmission
1805,2012 Mazda Mazda5 Touring,Automatic transmission
1806,2012 Mazda Mazda5 Grand Touring,Automatic transmission
1807,2010 Mazda Mazda5 Sport,Manual transmission
1808,2010 Mazda Mazda5 Sport AT,Automatic transmission
1809,2010 Mazda Mazda5 Touring,Automatic transmission
1810,2010 Mazda Mazda5 Grand Touring,Automatic transmission
1811,2011 Honda Pilot LX,Automatic transmission
1812,2011 Honda Pilot LX 4WD,Automatic transmission
1813,2011 Honda Pilot EX,Automatic transmission
1814,2011 Honda Pilot EX 4WD,Automatic transmission
1815,2011 Honda Pilot EX-L,Automatic transmission
1816,2011 Honda Pilot EX-L 4WD,Automatic transmission
1817,2011 Honda Pilot Touring,Automatic transmission
1818,2011 Honda Pilot Touring 4WD,Automatic transmission
1819,2012 Mazda Mazda6 i Sport,Manual transmission
1820,2012 Mazda Mazda6 i Sport AT,Automatic transmission
1821,2012 Mazda Mazda6 i Touring,Automatic transmission
1822,2012 Mazda Mazda6 i Touring Plus,Automatic transmission
1823,2012 Mazda Mazda6 i Grand Touring,Automatic transmission
1824,2012 Mazda Mazda6 s Touring Plus,Automatic transmission
1825,2012 Mazda Mazda6 s Grand Touring,Automatic transmission
1826,2011 Cadillac CTS Sport Wagon,Automatic transmission
1827,2011 Cadillac CTS Sport Wagon AWD,Automatic transmission
1828,2011 Cadillac CTS Sport Wagon Luxury,Automatic transmission
1829,2011 Cadillac CTS Sport Wagon Luxury AWD,Automatic transmission
1830,2011 Cadillac CTS Sport Wagon Performance,Automatic transmission
1831,2011 Cadillac CTS Sport Wagon Performance AWD,Automatic transmission
1832,2011 Cadillac CTS Sport Wagon Performance 3.6L,Automatic transmission
1833,2011 Cadillac CTS Sport Wagon Performance 3.6L AWD,Automatic transmission
1834,2011 Cadillac CTS Sport Wagon Premium,Automatic transmission
1835,2011 Cadillac CTS Sport Wagon Premium AWD,Automatic transmission
1836,2011 Lincoln Navigator L 4WD,Automatic transmission
1837,2011 Lincoln Navigator 4WD,Automatic transmission
1838,2011 Lincoln Navigator,Automatic transmission
1839,2011 Lincoln Navigator L,Automatic transmission
1840,2010 Lincoln Navigator L,Automatic transmission
1841,2010 Lincoln Navigator,Automatic transmission
1842,2011 Lincoln Town Car Signature Limited,Automatic transmission
1843,2011 Lincoln Town Car Signature L,Automatic transmission
1844,2010 Lincoln Town Car Signature L,Automatic transmission
1845,2010 Lincoln Town Car Signature Limited,Automatic transmission
1846,2011 Mercedes-Benz C300 Sport,Manual transmission
1847,2010 BMW 535i Gran Turismo,Automatic transmission
1848,2010 BMW 550i Gran Turismo,Automatic transmission
1849,2010 BMW 550i xDrive Gran Turismo,Automatic transmission
1850,2010 Infiniti FX35,Automatic transmission
1851,2010 Infiniti FX35 AWD,Automatic transmission
1852,2010 Infiniti FX50 AWD,Automatic transmission
1853,2011 Mercedes-Benz C300 Sport AT,Automatic transmission
1854,2011 Mercedes-Benz C300 4Matic Sport,Automatic transmission
1855,2010 Cadillac CTS Sport Wagon,Automatic transmission
1856,2010 Cadillac CTS Sport Wagon AWD,Automatic transmission
1857,2010 Cadillac CTS Sport Wagon Luxury,Automatic transmission
1858,2010 Cadillac CTS Sport Wagon Luxury AWD,Automatic transmission
1859,2010 Cadillac CTS Sport Wagon Performance,Automatic transmission
1860,2010 Cadillac CTS Sport Wagon Performance AWD,Automatic transmission
1861,2010 Cadillac CTS Sport Wagon Performance 3.6L,Automatic transmission
1862,2010 Cadillac CTS Sport Wagon Performance 3.6L AWD,Automatic transmission
1863,2010 Cadillac CTS Sport Wagon Premium,Automatic transmission
1864,2010 Cadillac CTS Sport Wagon Premium AWD,Automatic transmission
1865,2011 Infiniti FX35,Automatic transmission
1866,2011 Infiniti FX35 AWD,Automatic transmission
1867,2011 Infiniti FX50 AWD,Automatic transmission
1868,2010 Mercedes-Benz C300 Luxury Driver-Adaptive AT,Automatic transmission
1869,2012 Infiniti M Hybrid,Automatic transmission
1870,2011 Cadillac STS,Automatic transmission
1871,2011 Cadillac STS AWD,Automatic transmission
1872,2011 Cadillac STS Luxury,Automatic transmission
1873,2011 Cadillac STS Luxury AWD,Automatic transmission
1874,2011 Cadillac STS Premium,Automatic transmission
1875,2009 Infiniti M M35,Automatic transmission
1876,2011 Dodge Caliber Express,Manual transmission
1877,2011 Dodge Caliber Heat,Manual transmission
1878,2011 Dodge Caliber Rush,Manual transmission
1879,2011 Mercedes-Benz C300 Luxury  Driver-Adaptive AT,Automatic transmission
1880,2010 Dodge Caliber Express,Manual transmission
1881,2010 Dodge Caliber SXT Fleet,Manual transmission
1882,2010 Dodge Caliber Rush,Manual transmission
1883,2010 Dodge Caliber R/T Fleet,Manual transmission
1884,2010 Dodge Caliber Heat,Manual transmission
1885,2010 Dodge Caliber SE Fleet,Manual transmission
1886,2011 BMW 550i Gran Turismo,Automatic transmission
1887,2011 BMW 550i xDrive Gran Turismo,Automatic transmission
1888,2011 BMW 535i xDrive Gran Turismo,Automatic transmission
1889,2011 BMW 535i Gran Turismo,Automatic transmission
1890,2011 Dodge Challenger SE,Automatic transmission
1891,2011 Dodge Challenger R/T,Manual transmission
1892,2011 Dodge Challenger SRT8,Manual transmission
1893,2010 BMW 650i Convertible MT,Manual transmission
1894,2010 Infiniti M M35,Automatic transmission
1895,2010 Infiniti M M35x,Automatic transmission
1896,2010 Infiniti M M45,Automatic transmission
1897,2010 Infiniti M M45x,Automatic transmission
1898,2010 Dodge Challenger SE,Automatic transmission
1899,2010 Dodge Challenger SRT8,Automatic transmission
1900,2010 Dodge Challenger R/T,Automatic transmission
1901,2011 Infiniti M M37,Automatic transmission
1902,2011 Infiniti M M37x,Automatic transmission
1903,2011 Infiniti M M56,Automatic transmission
1904,2011 Infiniti M M56x,Automatic transmission
1905,2011 Toyota Venza,Automatic transmission
1906,2011 Toyota Venza AWD,Automatic transmission
1907,2011 Toyota Venza V6,Automatic transmission
1908,2011 Toyota Venza V6 AWD,Automatic transmission
1909,2012 Infiniti M37,Automatic transmission
1910,2012 Infiniti M37x AWD,Automatic transmission
1911,2012 Infiniti M56,Automatic transmission
1912,2012 Infiniti M56x AWD,Automatic transmission
1913,2010 Cadillac STS,Automatic transmission
1914,2010 Cadillac STS AWD,Automatic transmission
1915,2010 Cadillac STS Luxury,Automatic transmission
1916,2010 Cadillac STS Luxury AWD,Automatic transmission
1917,2010 Cadillac STS Premium,Automatic transmission
1918,2010 Cadillac STS Luxury V8,Automatic transmission
1919,2010 Cadillac STS Performance V8,Automatic transmission
1920,2010 Cadillac STS Performance V8 AWD,Automatic transmission
1921,2011 Ford Expedition XL,Automatic transmission
1922,2011 Ford Expedition XL 4WD,Automatic transmission
1923,2011 Ford Expedition XLT,Automatic transmission
1924,2011 Ford Expedition XLT 4WD,Automatic transmission
1925,2011 Ford Expedition XL EL,Automatic transmission
1926,2011 Ford Expedition XL EL 4WD,Automatic transmission
1927,2011 Ford Expedition XLT EL,Automatic transmission
1928,2011 Ford Expedition XLT EL 4WD,Automatic transmission
1929,2011 Ford Expedition Limited,Automatic transmission
1930,2011 Ford Expedition Limited 4WD,Automatic transmission
1931,2011 Ford Expedition King Ranch,Automatic transmission
1932,2011 Ford Expedition King Ranch 4WD,Automatic transmission
1933,2011 Ford Expedition Limited EL,Automatic transmission
1934,2011 Ford Expedition Limited EL 4WD,Automatic transmission
1935,2011 Ford Expedition King Ranch EL,Automatic transmission
1937,2011 Dodge Charger SE,Automatic transmission
1938,2011 Dodge Charger R/T AWD,Automatic transmission
1939,2011 Dodge Charger R/T,Automatic transmission
1940,2011 Mazda Mazda6 i Sport,Manual transmission
1941,2011 Mazda Mazda6 i Sport AT,Automatic transmission
1942,2011 Mazda Mazda6 i Touring,Automatic transmission
1943,2011 Mazda Mazda6 i Touring Plus,Automatic transmission
1944,2011 Mazda Mazda6 i Grand Touring,Automatic transmission
1945,2011 Mazda Mazda6 s Touring Plus,Automatic transmission
1946,2011 Mazda Mazda6 s Grand Touring,Automatic transmission
1947,2011 GMC Acadia SL,Automatic transmission
1948,2011 GMC Acadia SL AWD,Automatic transmission
1949,2011 GMC Acadia SLE,Automatic transmission
1950,2011 GMC Acadia SLE AWD,Automatic transmission
1951,2011 GMC Acadia SLT-1,Automatic transmission
1952,2011 GMC Acadia SLT-1 AWD,Automatic transmission
1953,2011 GMC Acadia SLT-2,Automatic transmission
1954,2011 GMC Acadia SLT-2 AWD,Automatic transmission
1955,2011 GMC Acadia Denali,Automatic transmission
1956,2011 GMC Acadia Denali AWD,Automatic transmission
1957,2010 Mazda Mazda6 i SV,Manual transmission
1958,2010 Mazda Mazda6 i Sport,Manual transmission
1959,2010 Mazda Mazda6 i Sport AT,Automatic transmission
1960,2010 Mazda Mazda6 i Touring,Manual transmission
1961,2010 Mazda Mazda6 i Touring AT,Automatic transmission
1962,2010 Mazda Mazda6 i Touring Plus,Automatic transmission
1963,2010 Mazda Mazda6 i Grand Touring,Automatic transmission
1964,2010 Mazda Mazda6 s Touring Plus,Automatic transmission
1965,2010 Mazda Mazda6 s Grand Touring,Automatic transmission
1966,2010 Dodge Charger Rallye,Automatic transmission
1967,2010 Dodge Charger Rallye AWD,Automatic transmission
1968,2010 Dodge Charger SXT Fleet AWD,Automatic transmission
